,Name,Depth,Date,Alkalinity,Ca,Cl,DIC,DOC,DRSI,Fe,K,Mg,Mn,Na,NH4,NO3 NO2,SO4,TIC,TOC,Total N (F),Total N (UF),Total P (F),Total P (UF)
,A,0,2018-11-08,25,,0.38,3.81,17.53,,,,,,,187,2,0.23,5,18.09,643,692,28,45
,B,3,2018-11-08,31,,0.37,3.62,17.91,,,,,,,184,2,0.21,4.48,18.05,603,987,24,52
,C,7,2018-11-08,29,,0.38,-99,-99,,,,,,,187,2,0.23,4.92,17.95,589,692,23,47
,,,,,,,,,,,,,,,,,,,,,,,
,A,0,2019-01-08,,,0.39,-99,-99,,,,,,,228,6,0.47,-99,-99,,,,
,B,3,2019-01-08,,,0.26,5.01,19.74,,,,,,,274,1,0.34,-99,-99,,,,
,C,7,2019-01-08,,,0.3,6.1,20.33,,,,,,,426,2,0.35,2.23,21.66,,,,
