Location,Name,Depth,Station,Replicate,Date,Alkalinity,Ca,Cl,DIC,DOC,DRSI,Fe,K,Mg,Mn,Na,NH4,NO3 NO2,SO4,TIC,TOC,Total N (F),Total N (UF),Total P (F),Total P (UF)
Deep Hole,A,0,1,1,2018-11-08,25,,0.38,3.81,17.53,,,,,,,187,2,0.23,5,18.09,643,692,28,45
Deep Hole,B,3,1,1,2018-11-08,31,,0.37,3.62,17.91,,,,,,,184,2,0.21,4.48,18.05,603,987,24,52
Deep Hole,C,7,1,1,2018-11-08,29,,0.38,-99,-99,,,,,,,187,2,0.23,4.92,17.95,589,692,23,47
