Location,Name,Depth,Station,Replicate,Date,Ca,Cl,DIC,DOC,DRSI,Fe,K,Mg,Mn,Na,NH4,NO3 NO2,SO4,TIC,TOC,Total N (F),Total N (UF),Total P (F),Total P (UF)
Deep Hole,A,0,1,1,2019-01-08,,0.39,-99,-99,,,,,,,228,6,0.47,-99,-99,,,,
Deep Hole,B,3,1,1,2019-01-08,,0.26,5.01,19.74,,,,,,,274,1,0.34,-99,-99,,,,
Deep Hole,C,7,1,1,2019-01-08,,0.3,6.1,20.33,,,,,,,426,2,0.35,2.23,21.66,,,,
